"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000188729",36.7707294960912,1.23123886134042,0.46106900782087,2.67040039659047,0.00757608451008076,0.881087405894299
"ENSG00000238542",32.1554671024349,1.30435088560547,0.488647309910518,2.66930945725317,0.00760073854726282,0.881087405894299
"ENSG00000260872",279.325978278451,0.813743663941421,0.30481940821015,2.66959269004421,0.00759433089275068,0.881087405894299
"ENSG00000261116",34.3461076814131,1.00728818871076,0.376373554243068,2.67629905809013,0.00744401889063804,0.881087405894299
"ENSG00000261788",345.462703646415,0.892269327338887,0.33268926766995,2.68199011524495,0.00731856222217278,0.881087405894299
"ENSG00000273090",53.9808132157343,1.27850842380271,0.479201431921795,2.66799792036381,0.00763047304040669,0.881087405894299
"ENSG00000134333",27659.2111194694,-0.832422462058714,0.312400450325256,-2.66460071101702,0.00770797825025083,0.881890374677105
"ENSG00000237126",111.008647120283,-0.617421671727668,0.231761381534213,-2.66404034891604,0.00772083012849605,0.881890374677105
"ENSG00000100027",182.931989491006,0.530447338158034,0.199736110997448,2.65574079473697,0.007913441441335,0.89272773923907
"ENSG00000111537",21.2254668886132,1.12980438315217,0.426505589700339,2.64897907656021,0.00807353299067819,0.89272773923907
"ENSG00000124749",109.038165516867,0.773601178803347,0.29184851159864,2.65069427479977,0.00803265155248649,0.89272773923907
"ENSG00000144791",375.608209111049,0.549740198159992,0.207148685013742,2.65384353332256,0.00795807185743401,0.89272773923907
"ENSG00000152926",492.891098256133,0.816049935586007,0.308233465559134,2.64750595496079,0.00810879315880666,0.89272773923907
"ENSG00000162493",209.136167788157,-0.552290640299987,0.207948945082782,-2.6558953693183,0.00790981518603543,0.89272773923907
"ENSG00000196781",754.783949706281,0.564040270478607,0.213045913947271,2.64750569503158,0.00810879939253383,0.89272773923907
"ENSG00000256612",40.4973848488308,-1.52832954978294,0.57761404896362,-2.64593555597398,0.00814653347369357,0.89272773923907
"ENSG00000183785",434.553966345172,-0.651232718220096,0.246346362970955,-2.64356538641846,0.00820379187028748,0.89446191361498
"ENSG00000087301",277.569940513325,0.442129954539937,0.167541176537491,2.63893308903082,0.00831673940798782,0.902219951455483
